risk,cause,location_name,year,deaths_count_all_age,deaths_count_lower,deaths_count_upper,deaths_asr,deaths_asr_lower,deaths_asr_upper,dalys_asdr,dalys_asdr_lower,dalys_asdr_upper,deaths_count_from_age_sex_sum,deaths_count_difference_vs_baseline,dalys_count_from_age_sex_sum,dalys_count_ui_note,population_total_from_age_sex
ozone,copd,China,1990,66508.1969226866,16377.003904541123,129009.5646775226,11.017676700916171,2.693028252745416,21.01770978734389,182.53609849034513,44.98088236913498,353.075355789799,66508.1969226866,0.0,1306470.759835505,point_estimate_sum_from_age_sex_only,1179137926.6356304
ozone,copd,China,1991,67314.47461321989,16378.597006432137,130142.03154635335,10.790495055658017,2.60899293260407,20.47990976869664,178.3838954325364,43.433670294578484,345.05253471195357,67314.47461321986,-2.9103830456733704e-11,1314187.1756647225,point_estimate_sum_from_age_sex_only,1195421731.321272
ozone,copd,China,1992,71860.67507177599,17242.416629728647,139834.24623634582,11.173795163833619,2.700287292200656,21.526404935507852,183.94148881060843,44.18875494443051,359.20847084297037,71860.67507177599,0.0,1391716.3278895176,point_estimate_sum_from_age_sex_only,1208692895.275579
ozone,copd,China,1993,74453.94303446202,18458.867734496107,140269.00917887344,11.233986887022265,2.7733712776276045,21.204344262062605,184.37352524825954,45.626140226458226,346.46076144766243,74453.943034462,-1.4551915228366852e-11,1433481.3951230182,point_estimate_sum_from_age_sex_only,1219474323.7789443
ozone,copd,China,1994,79862.90240947163,20246.261890616228,149596.20216784024,11.7225636886052,2.9242454360169012,22.036427147869105,191.45281651771322,48.39337538104299,359.21817549473616,79862.90240947157,-5.820766091346741e-11,1528030.1724490183,point_estimate_sum_from_age_sex_only,1228214142.290209
ozone,copd,China,1995,83290.82700381409,20371.271723444883,155185.92900231833,11.870489869747809,2.8788621728697588,22.373510201168916,193.31821052595248,47.51919891578494,358.41172006613573,83290.82700381409,0.0,1586000.8259461597,point_estimate_sum_from_age_sex_only,1235265259.5297866
ozone,copd,China,1996,87791.41499695582,20780.621519583292,159418.9770333119,12.144884475356207,2.8751970586464384,22.174789475114324,196.88656399811052,46.90800081065123,356.6191389261557,87791.41499695582,0.0,1658644.3643493832,point_estimate_sum_from_age_sex_only,1240973039.4398258
ozone,copd,China,1997,95104.61843750371,21703.41630905084,171233.6034287449,12.764672245430756,2.9342759982375823,23.155696336685015,206.0892003532384,47.28763933877469,372.2725318698141,95104.6184375037,-1.4551915228366852e-11,1783599.3425234049,point_estimate_sum_from_age_sex_only,1245681193.724642
ozone,copd,China,1998,96980.77112312202,22160.213917136865,176993.71641341603,12.613656499566712,2.9438767145876725,23.15501273216163,203.23112615864787,46.66111301350895,370.98872026746506,96980.77112312197,-4.3655745685100555e-11,1809191.629659394,point_estimate_sum_from_age_sex_only,1249830500.791358
ozone,copd,China,1999,106299.56584371174,23850.060727524255,192352.4785350019,13.41403293491154,3.060996104490256,24.25534715391681,215.38115228482616,48.433733026172774,388.81097802249366,106299.56584371178,4.3655745685100555e-11,1972471.2601010653,point_estimate_sum_from_age_sex_only,1253884290.5004425
