analysis_window,metric_column,metric_label,risk,cause,location_name,selected_breakpoint_count,selected_breakpoint_years,segment_index,year_start,year_end,n_years,slope_log_linear,slope_se,p_value,apc_percent,apc_lower,apc_upper,segment_sse,model_bic
1990-2021,deaths_asr,Deaths ASR,ozone,copd,China,1,2007,1,1990,2006,17,0.023529021942802292,0.0009811078992846133,4.276173447740543e-127,2.3808013213070467,2.184115131576747,2.577866096859416,0.005890944985436643,-158.95157406642326
1990-2021,deaths_asr,Deaths ASR,ozone,copd,China,1,2007,2,2007,2021,15,-0.0914734960796955,0.005830608168450862,1.8128907917974927e-55,-8.741449707507176,-9.778415188960343,-7.692565820807895,0.12374540947498153,-158.95157406642326
1990-2021,deaths_asr,Deaths ASR,ozone,copd,East Asia,1,2007,1,1990,2006,17,0.023215198677683246,0.0009720683576425106,4.681626202805147e-126,2.348676884912293,2.153862305387233,2.543862989502954,0.005782891378610425,-160.51261194072578
1990-2021,deaths_asr,Deaths ASR,ozone,copd,East Asia,1,2007,2,2007,2021,15,-0.08959415212442311,0.005685948986523573,6.137130492032608e-56,-8.569782242067825,-9.583065910861045,-7.545142915136161,0.11768125779354832,-160.51261194072578
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Global,1,2009,1,1990,2008,19,0.018908858144277316,0.0006995333881968618,6.445845333184972e-161,1.9088762743594279,1.7692462420307864,2.0486978826960156,0.0047417720540491376,-218.03487890508688
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Global,1,2009,2,2009,2021,13,-0.019930079789526607,0.0028018431056437234,1.1338002606782616e-12,-1.9732788599630346,-2.510128192409933,-1.4334732490801638,0.015716350226863816,-218.03487890508688
1990-2021,deaths_asr,Deaths ASR,ozone,copd,High SDI,1,2009,1,1990,2008,19,0.012113828611901465,0.0011299000749929132,8.098967903907944e-27,1.2187498206798653,0.9948383866833055,1.4431576793558776,0.012370972799054523,-202.80529595449332
1990-2021,deaths_asr,Deaths ASR,ozone,copd,High SDI,1,2009,2,2009,2021,13,-0.040842525147684404,0.003204361763926722,3.2851039748539444e-37,-4.00197092000103,-4.603001873196099,-3.397153283642007,0.020556404496859377,-202.80529595449332
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Japan,1,2010,1,1990,2009,20,0.005315639816332423,0.0025054305210777126,0.033867370013315835,0.5329792896106467,0.04050780169706503,1.027875077157825,0.07513786968849444,-169.55743570605745
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Japan,1,2010,2,2010,2021,12,-0.021658807281497022,0.003540703164360816,9.529830713410113e-10,-2.142593955748595,-2.819351658873537,-1.4611233700018822,0.01792730782430401,-169.55743570605745
