analysis_window,metric_column,metric_label,risk,cause,location_name,n_points,selected_breakpoint_count,selected_breakpoint_years,model_bic,model_sse,overall_aapc_percent
1990-2021,deaths_asr,Deaths ASR,ozone,copd,China,32,1,2007,-158.95157406642326,0.12963635446041816,-2.9921621702263423
1990-2021,deaths_asr,Deaths ASR,ozone,copd,East Asia,32,1,2007,-160.51261194072578,0.12346414917215874,-2.922852108421692
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Global,32,1,2009,-218.03487890508688,0.020458122280912955,0.313544486515438
1990-2021,deaths_asr,Deaths ASR,ozone,copd,High SDI,32,1,2009,-202.80529595449332,0.0329273772959139,-0.9355651108231999
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Japan,32,1,2010,-169.55743570605745,0.09306517751279844,-0.47882773190190964
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Republic of Korea,32,1,2001,-142.36536905891677,0.217685674861673,1.897868327157859
1990-2021,deaths_asr,Deaths ASR,pm25,copd,China,32,1,2009,-166.97122074210856,0.10089892758187129,-0.8523017778225506
1990-2021,deaths_asr,Deaths ASR,pm25,copd,East Asia,32,1,2009,-167.1821771597095,0.1002359503999031,-0.865867655034902
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Global,32,1,2008,-205.39768126435357,0.030365053992322297,-0.10317372643974254
1990-2021,deaths_asr,Deaths ASR,pm25,copd,High SDI,32,1,2007,-187.4759756643241,0.05316209845874927,-1.59568628107849
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Japan,32,1,2010,-187.71394926287243,0.05276821561721404,-3.5417439724414135
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Republic of Korea,32,1,1999,-193.91990658824065,0.04346573237211547,-3.24782974358212
1990-2021,deaths_asr,Deaths ASR,pm25,lri,China,32,1,2014,-187.57830715287957,0.05299236509913391,-3.941883720108008
1990-2021,deaths_asr,Deaths ASR,pm25,lri,East Asia,32,1,2014,-191.64736078478109,0.046664790167906145,-3.8137756810051493
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Global,32,1,2014,-205.9151358960015,0.02987798585573527,-2.1398482584449985
1990-2021,deaths_asr,Deaths ASR,pm25,lri,High SDI,32,1,2014,-184.8501387277404,0.05770842124939308,-3.4566540818458558
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Japan,32,1,2014,-175.00635131565124,0.07849394345365875,-4.7262973241095185
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Republic of Korea,32,1,2003,-136.30255618132657,0.2630949691174386,1.3518206205507033
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,China,32,1,2007,-157.4466260322238,0.13587874178012913,-3.4461999980130664
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,East Asia,32,1,2007,-159.0989078146442,0.12904085733748785,-3.353858754727601
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Global,32,1,2009,-216.41880563519814,0.02151783811419109,0.13668256255987554
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,High SDI,32,1,2009,-200.67370163236075,0.035195448524349436,-1.376019887011115
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Japan,32,1,2010,-168.2269288358632,0.09701624326736144,-0.598654658233233
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Republic of Korea,32,1,2001,-141.98443653897462,0.22029252123233686,1.3440108157619202
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,China,32,1,2009,-170.61529435671676,0.09003891793130621,-1.0309341233385116
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,East Asia,32,1,2009,-170.77816618869872,0.08958180709706137,-1.0403200681319613
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Global,32,1,2007,-219.16037938572381,0.01975107837585282,-0.1663060820027762
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,High SDI,32,1,2007,-197.58439420074458,0.03876266837573369,-1.8280404441829878
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Japan,32,1,2013,-186.9557655009086,0.05403339466079578,-2.9650124733629157
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Republic of Korea,32,1,2014,-202.1231364680816,0.03363684125936589,-2.2951895399986544
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,China,32,1,2002,-158.01383953932603,0.13349145407415233,-5.8812477256181435
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,East Asia,32,1,2003,-158.01535180464478,0.13348514564520553,-5.78132950387058
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Global,32,1,2014,-202.54233920764813,0.033199069443865706,-2.883949387738516
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,High SDI,32,1,1998,-187.26871478638952,0.05350754167712315,-4.000139582058959
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Japan,32,1,2014,-171.38993881750088,0.08788545851988401,-4.890189331306171
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Republic of Korea,32,1,2004,-143.29579052364792,0.211447447641977,-0.7777104882632058
