analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
main,main_overall_1990_2021,ozone,copd,dalys,China,Both,1990,2021,,raw,endpoint_direct,1306470.7598355052,1268662.3820532765,-37808.377782228636,1306470.759835505,1268662.3820532765,-2.3283064365386963e-10,0.0,1179137926.6356301,1428242111.8436134,289716.10221806954,1429507.8498060184,-1597087.7009012345,-159944.62890508166,-766.2748819502302,-3780.928814348499,4224.163517673922,423.04017862480646,-4.0745362639427185e-10
main,main_pre_break,ozone,copd,dalys,China,Both,1990,2007,2007,raw,endpoint_direct,1306470.7598355052,2696452.5844764477,1389981.8246409425,1306470.759835505,2696452.584476448,-2.3283064365386963e-10,4.656612873077393e-10,1179137926.6356301,1311423761.7638988,210922.87033934167,899122.7671853724,-597889.4536858844,877825.6408021124,15.174505637426364,64.68593698465317,-43.014192206457814,63.15374958437825,4.656612873077393e-10
main,main_post_break,ozone,copd,dalys,China,Both,2007,2021,2007,raw,endpoint_direct,2696452.5844764477,1268662.3820532765,-1427790.2024231711,2696452.584476448,1268662.3820532765,4.656612873077393e-10,0.0,1311423761.7638988,1428242111.8436134,177982.83530060088,1060984.8332531585,-1554329.1425225178,-1112428.7284544127,-12.465615396333277,-74.30957513593455,108.86257237825217,77.91261815401566,0.0
main,main_overall_1990_2021,ozone,copd,dalys,East Asia,Both,1990,2021,,raw,endpoint_direct,1324746.2756863206,1322777.414609918,-1968.8610764027108,1324746.2756863206,1322777.4146099177,0.0,-2.3283064365386963e-10,1220394792.6352584,1478025007.6619742,296730.6691719491,1455374.98558556,-1617098.4739268876,-136976.04190702472,-15071.183677118712,-73919.63826338948,82133.70121986841,6957.120720639796,4.3655745685100555e-10
main,main_pre_break,ozone,copd,dalys,East Asia,Both,1990,2007,2007,raw,endpoint_direct,1324746.2756863206,2734920.801926243,1410174.5262399225,1324746.2756863206,2734920.801926243,0.0,0.0,1220394792.6352584,1359303771.5458698,216734.17163479546,910347.885156002,-599322.8755244567,882415.3449735814,15.369315471375987,64.55568925807687,-42.49990794561339,62.57490321616051,4.656612873077393e-10
main,main_post_break,ozone,copd,dalys,East Asia,Both,2007,2021,2007,raw,endpoint_direct,2734920.801926243,1322777.414609918,-1412143.3873163252,2734920.801926243,1322777.4146099177,0.0,-2.3283064365386963e-10,1359303771.5458698,1478025007.6619742,178672.51893551575,1074902.202054974,-1565252.489969031,-1100465.6183377835,-12.652576256797104,-76.11848851254027,110.84231984003256,77.92874492930477,-4.656612873077393e-10
main,main_overall_1990_2021,ozone,copd,dalys,Global,Both,1990,2021,,raw,endpoint_direct,3498853.2955586845,6957670.382605992,3458817.0870473078,3498853.2955586845,6957670.382605992,0.0,0.0,5336096932.229505,7922763197.366717,2049633.7205370532,2318036.1310221944,-2468624.7486069873,1559771.9840950456,59.25822814431526,67.01817623437944,-71.3719368928636,45.09553251416882,1.862645149230957e-09
main,main_pre_break,ozone,copd,dalys,Global,Both,1990,2009,2009,raw,endpoint_direct,3498853.2955586845,6483696.218376477,2984842.9228177927,3498853.2955586845,6483696.218376478,0.0,9.313225746154785e-10,5336096932.229505,6870903465.192087,1227786.8516607494,1175833.6122449944,-748575.0227887625,1329797.4817008108,41.134052390994064,39.39348376613962,-25.079209933167345,44.551673776033645,4.656612873077393e-10
main,main_post_break,ozone,copd,dalys,Global,Both,2009,2021,2009,raw,endpoint_direct,6483696.218376477,6957670.382605992,473974.164229515,6483696.218376478,6957670.382605992,9.313225746154785e-10,0.0,6870903465.192087,7922763197.366717,968813.5006059301,1446982.8324259638,-2096978.3854816267,155156.2166792485,204.40217499635622,305.28727969343146,-442.4246179937765,32.73516330398895,-6.984919309616089e-10
main,main_overall_1990_2021,ozone,copd,dalys,High SDI,Both,1990,2021,,raw,endpoint_direct,1216319.9865537179,1364201.2979484533,147881.31139473547,1216319.9865537179,1364201.2979484533,0.0,0.0,2057966635.6512623,2530226036.8233757,278777.8290000461,751712.5446266459,-747671.3008095422,-134937.76142241442,188.5145772449314,508.3215299735343,-505.58876828851214,-91.24733892995364,8.731149137020111e-11
