Measure,Risk,Cause,Location,Net change,Pop growth,Aging,Underlying rate,PAF
Deaths,PM2.5,COPD,China,134333,37802,204047,-222150,114634
Deaths,PM2.5,COPD,Japan,712,40,3305,-2182,-451
Deaths,PM2.5,COPD,Republic of Korea,675,274,2497,-2158,63
Deaths,PM2.5,COPD,East Asia,135216,38004,204997,-219864,112079
Deaths,PM2.5,COPD,Global,326468,175905,234339,-229136,145359
Deaths,PM2.5,COPD,High SDI,30287,31663,97708,-89934,-9150
Deaths,PM2.5,Lower respiratory infections,China,-12230,7653,10193,-62791,32715
Deaths,PM2.5,Lower respiratory infections,Japan,100,97,8319,-7355,-961
Deaths,PM2.5,Lower respiratory infections,Republic of Korea,2476,286,2153,-92,129
Deaths,PM2.5,Lower respiratory infections,East Asia,-11459,7711,11533,-60373,29670
Deaths,PM2.5,Lower respiratory infections,Global,-15044,99407,26573,-198532,57508
Deaths,PM2.5,Lower respiratory infections,High SDI,-5267,14036,33034,-48215,-4122
Deaths,Ozone,COPD,China,18222,17198,96129,-94817,-288
Deaths,Ozone,COPD,Japan,1807,32,2471,-1802,1106
Deaths,Ozone,COPD,Republic of Korea,1079,199,1708,-1655,826
Deaths,Ozone,COPD,East Asia,20344,17567,97740,-95823,861
Deaths,Ozone,COPD,Global,208809,108158,140310,-137073,97414
Deaths,Ozone,COPD,High SDI,24393,16661,51216,-46794,3310
DALYs,PM2.5,COPD,China,2000433,711705,3324063,-4219271,2183936
DALYs,PM2.5,COPD,Japan,11633,874,56996,-36795,-9443
DALYs,PM2.5,COPD,Republic of Korea,25981,7026,53101,-35760,1614
DALYs,PM2.5,COPD,East Asia,2012020,715900,3337219,-4171441,2130342
DALYs,PM2.5,COPD,Global,6746122,3997401,4488415,-4888670,3148976
DALYs,PM2.5,COPD,High SDI,184697,674849,1751370,-1794019,-447503
DALYs,PM2.5,Lower respiratory infections,China,-2203917,381662,-759288,-3570796,1744505
DALYs,PM2.5,Lower respiratory infections,Japan,-18954,1311,93157,-100794,-12628
DALYs,PM2.5,Lower respiratory infections,Republic of Korea,17101,5165,25428,-15851,2358
DALYs,PM2.5,Lower respiratory infections,East Asia,-2215981,375672,-708840,-3420217,1537404
DALYs,PM2.5,Lower respiratory infections,Global,-7048749,5375859,-2620298,-13653470,3849160
DALYs,PM2.5,Lower respiratory infections,High SDI,-1439293,408005,45879,-2094385,201208
DALYs,Ozone,COPD,China,-37808,289716,1429508,-1597088,-159945
DALYs,Ozone,COPD,Japan,18853,400,27618,-17029,7865
DALYs,Ozone,COPD,Republic of Korea,11991,2625,21418,-14029,1978
DALYs,Ozone,COPD,East Asia,-1969,296731,1455375,-1617098,-136976
DALYs,Ozone,COPD,Global,3458817,2049634,2318036,-2468625,1559772
DALYs,Ozone,COPD,High SDI,147881,278778,751713,-747671,-134938
