analysis_window,metric_column,metric_label,risk,cause,location_name,n_points,selected_model,selected_breakpoint_years,bic_0_break,bic_1_break,bic_delta_0_minus_1
1990-2021,deaths_asr,Deaths ASR,ozone,copd,China,32,1-break,2007,-76.54893583101638,-158.95157406642326,82.40263823540688
1990-2021,deaths_asr,Deaths ASR,ozone,copd,East Asia,32,1-break,2007,-77.79187114976963,-160.51261194072578,82.72074079095614
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Global,32,1-break,2009,-138.26977580001756,-218.03487890508688,79.76510310506933
1990-2021,deaths_asr,Deaths ASR,ozone,copd,High SDI,32,1-break,2009,-118.11975015249911,-202.80529595449332,84.68554580199421
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Japan,32,1-break,2010,-138.24311824270245,-169.55743570605745,31.314317463354996
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Republic of Korea,32,1-break,2001,-79.12094369712553,-142.36536905891677,63.244425361791244
1990-2021,deaths_asr,Deaths ASR,pm25,copd,China,32,1-break,2009,-90.94675450388837,-166.97122074210856,76.02446623822019
1990-2021,deaths_asr,Deaths ASR,pm25,copd,East Asia,32,1-break,2009,-91.55255738989264,-167.1821771597095,75.62961976981687
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Global,32,1-break,2008,-147.288499299854,-205.39768126435357,58.109181964499555
1990-2021,deaths_asr,Deaths ASR,pm25,copd,High SDI,32,1-break,2007,-120.34270880474445,-187.4759756643241,67.13326685957965
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Japan,32,1-break,2010,-164.1632542048008,-187.71394926287243,23.550695058071625
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Republic of Korea,32,1-break,1999,-145.16357073169226,-193.91990658824065,48.75633585654839
1990-2021,deaths_asr,Deaths ASR,pm25,lri,China,32,1-break,2014,-148.86404582323314,-187.57830715287957,38.71426132964643
1990-2021,deaths_asr,Deaths ASR,pm25,lri,East Asia,32,1-break,2014,-148.04462142247397,-191.64736078478109,43.60273936230712
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Global,32,1-break,2014,-191.15529413382316,-205.9151358960015,14.759841762178326
1990-2021,deaths_asr,Deaths ASR,pm25,lri,High SDI,32,1-break,2014,-178.9386515434459,-184.8501387277404,5.9114871842944865
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Japan,32,1-break,2014,-124.58379862664917,-175.00635131565124,50.422552689002075
1990-2021,deaths_asr,Deaths ASR,pm25,lri,Republic of Korea,32,1-break,2003,-95.62096682542753,-136.30255618132657,40.681589355899035
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,China,32,1-break,2007,-75.79637518117043,-157.4466260322238,81.65025085105337
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,East Asia,32,1-break,2007,-77.22024983952235,-159.0989078146442,81.87865797512185
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Global,32,1-break,2009,-142.7839209537124,-216.41880563519814,73.63488468148574
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,High SDI,32,1-break,2009,-119.27999611142135,-200.67370163236075,81.39370552093939
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Japan,32,1-break,2010,-141.25651744008118,-168.2269288358632,26.97041139578201
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Republic of Korea,32,1-break,2001,-78.20764202428421,-141.98443653897462,63.77679451469041
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,China,32,1-break,2009,-94.41978365640655,-170.61529435671676,76.19551070031021
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,East Asia,32,1-break,2009,-95.04168411029701,-170.77816618869872,75.7364820784017
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Global,32,1-break,2007,-161.1707078506871,-219.16037938572381,57.989671535036706
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,High SDI,32,1-break,2007,-129.59041014329648,-197.58439420074458,67.9939840574481
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Japan,32,1-break,2013,-167.32111303464302,-186.9557655009086,19.634652466265578
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Republic of Korea,32,1-break,2014,-158.1144352715547,-202.1231364680816,44.008701196526914
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,China,32,1-break,2002,-122.8040160357579,-158.01383953932603,35.20982350356813
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,East Asia,32,1-break,2003,-124.31074157116,-158.01535180464478,33.704610233484786
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Global,32,1-break,2014,-187.42472434309343,-202.54233920764813,15.117614864554696
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,High SDI,32,1-break,1998,-181.0739240342754,-187.26871478638952,6.19479075211413
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Japan,32,1-break,2014,-124.84896430309,-171.38993881750088,46.54097451441088
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Republic of Korea,32,1-break,2004,-91.24646719110068,-143.29579052364792,52.049323332547246
