analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
main,main_overall_1990_2021,ozone,copd,dalys,China,Both,1990,2021,,raw,endpoint_direct,1306470.7598355052,1268662.3820532765,-37808.377782228636,1306470.759835505,1268662.3820532765,-2.3283064365386963e-10,0.0,1179137926.6356301,1428242111.8436134,289716.10221806954,1429507.8498060184,-1597087.7009012345,-159944.62890508166,-766.2748819502302,-3780.928814348499,4224.163517673922,423.04017862480646,-4.0745362639427185e-10
main,main_pre_break,ozone,copd,dalys,China,Both,1990,2007,2007,raw,endpoint_direct,1306470.7598355052,2696452.5844764477,1389981.8246409425,1306470.759835505,2696452.584476448,-2.3283064365386963e-10,4.656612873077393e-10,1179137926.6356301,1311423761.7638988,210922.87033934167,899122.7671853724,-597889.4536858844,877825.6408021124,15.174505637426364,64.68593698465317,-43.014192206457814,63.15374958437825,4.656612873077393e-10
main,main_post_break,ozone,copd,dalys,China,Both,2007,2021,2007,raw,endpoint_direct,2696452.5844764477,1268662.3820532765,-1427790.2024231711,2696452.584476448,1268662.3820532765,4.656612873077393e-10,0.0,1311423761.7638988,1428242111.8436134,177982.83530060088,1060984.8332531585,-1554329.1425225178,-1112428.7284544127,-12.465615396333277,-74.30957513593455,108.86257237825217,77.91261815401566,0.0
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,China,Both,1990,2019,,raw,endpoint_direct,1306470.7598355052,1377330.1150120625,70859.35517655732,1306470.759835505,1377330.1150120625,-2.3283064365386963e-10,0.0,1179137926.6356301,1418278589.326395,283476.6035764821,1331039.3363826799,-1510769.001012545,-32887.58377006002,400.055296679112,1878.4242857787576,-2132.0671028521565,-46.41247960571386,4.3655745685100555e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,China,Both,1990,2007,2007,raw,endpoint_direct,1306470.7598355052,2696452.5844764477,1389981.8246409425,1306470.759835505,2696452.584476448,-2.3283064365386963e-10,4.656612873077393e-10,1179137926.6356301,1311423761.7638988,210922.87033934167,899122.7671853724,-597889.4536858844,877825.6408021124,15.174505637426364,64.68593698465317,-43.014192206457814,63.15374958437825,4.656612873077393e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,China,Both,2007,2019,2007,raw,endpoint_direct,2696452.5844764477,1377330.1150120625,-1319122.4694643852,2696452.584476448,1377330.1150120625,4.656612873077393e-10,0.0,1311423761.7638988,1418278589.326395,165560.08442065367,898991.0867515067,-1417889.2418299252,-965784.3988066204,-12.55077434075378,-68.15069165765418,107.48730877168995,73.21415722671803,0.0
main,main_overall_1990_2021,ozone,copd,dalys,China,Female,1990,2021,,raw,endpoint_direct,376792.53815465677,547775.662918611,170983.1247639542,376792.53815465677,547775.662918611,0.0,0.0,571479943.0061843,696950605.8138463,99932.49062348616,459082.9869818079,-356733.40510649537,-31298.947734844434,58.445820756548386,268.496079724582,-208.63661580578398,-18.305284675346346,-5.820766091346741e-11
main,main_pre_break,ozone,copd,dalys,China,Female,1990,2007,2007,raw,endpoint_direct,376792.53815465677,1044763.4466115069,667970.9084568501,376792.53815465677,1044763.4466115069,0.0,0.0,571479943.0061843,639635769.9825664,75520.04984746916,275646.6446326039,-782.442868341585,317586.65684511856,11.305889057644137,41.26626491405206,-0.11713726727249077,47.54498329557629,0.0
main,main_post_break,ozone,copd,dalys,China,Female,2007,2021,2007,raw,endpoint_direct,1044763.4466115069,547775.662918611,-496987.7836928959,1044763.4466115069,547775.662918611,0.0,0.0,639635769.9825664,696950605.8138463,72156.10542461199,445307.2660774409,-568624.4315224314,-445826.72367251705,-14.518687942076152,-89.60124990770598,114.41416674213507,89.70577110764701,-2.9103830456733704e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,China,Female,1990,2019,,raw,endpoint_direct,376792.53815465677,573168.1843193666,196375.64616470982,376792.53815465677,573168.1843193666,0.0,0.0,571479943.0061843,692329321.1159679,97119.89476578643,420781.71910638775,-328215.4356101008,6689.467902636301,49.45618087709677,214.27388137195874,-167.13652737509545,3.4064651260398744,1.1641532182693481e-10
