analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
main,main_overall_1990_2021,ozone,copd,dalys,China,Both,1990,2021,,raw,annual_chain,1306470.7598355052,1268662.3820532765,-37808.377782228636,1306470.759835505,1268662.3820532765,-2.3283064365386963e-10,0.0,1179137926.6356301,1428242111.8436134,361438.4984321423,1852701.573494442,-2201146.811048776,-50801.63866003696,-955.974626877623,-4900.240851817985,5821.849389378981,134.36608931662667,-1.1641532182693481e-10
main,main_pre_break,ozone,copd,dalys,China,Both,1990,2007,2007,raw,annual_chain,1306470.7598355052,2696452.5844764477,1389981.8246409425,1306470.759835505,2696452.584476448,-2.3283064365386963e-10,4.656612873077393e-10,1179137926.6356301,1311423761.7638988,199289.90036389147,927070.2827678598,-687768.7736416538,951390.4151508451,14.337590379311017,66.69657590719495,-49.48041488379295,68.44624859728698,0.0
main,main_post_break,ozone,copd,dalys,China,Both,2007,2021,2007,raw,annual_chain,2696452.5844764477,1268662.3820532765,-1427790.2024231711,2696452.584476448,1268662.3820532765,4.656612873077393e-10,0.0,1311423761.7638988,1428242111.8436134,162148.5980682508,925631.2907265823,-1513378.037407122,-1002192.053810882,-11.356612322528944,-64.82964297945519,105.99442655081228,70.19182875117184,0.0
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,China,Both,1990,2019,,raw,annual_chain,1306470.7598355052,1377330.1150120625,70859.35517655732,1306470.759835505,1377330.1150120625,-2.3283064365386963e-10,0.0,1179137926.6356301,1418278589.326395,352419.7678641039,1748985.3208212669,-2087585.4472960117,57039.713787198205,497.3510794530858,2468.2489933240186,-2946.0971555477204,80.49708277061612,8.731149137020111e-11
sensitivity,sensitivity_pre_break,ozone,copd,dalys,China,Both,1990,2007,2007,raw,annual_chain,1306470.7598355052,2696452.5844764477,1389981.8246409425,1306470.759835505,2696452.584476448,-2.3283064365386963e-10,4.656612873077393e-10,1179137926.6356301,1311423761.7638988,199289.90036389147,927070.2827678598,-687768.7736416538,951390.4151508451,14.337590379311017,66.69657590719495,-49.48041488379295,68.44624859728698,0.0
sensitivity,sensitivity_post_break,ozone,copd,dalys,China,Both,2007,2019,2007,raw,annual_chain,2696452.5844764477,1377330.1150120625,-1319122.4694643852,2696452.584476448,1377330.1150120625,4.656612873077393e-10,0.0,1311423761.7638988,1418278589.326395,153129.86750021242,821915.0380534071,-1399816.673654358,-894350.7013636469,-11.608464797236687,-62.30771267107112,106.11726401891536,67.79891344939244,0.0
main,main_overall_1990_2021,ozone,copd,dalys,East Asia,Both,1990,2021,,raw,annual_chain,1324746.2756863206,1322777.414609918,-1968.8610764027108,1324746.2756863206,1322777.4146099177,0.0,-2.3283064365386963e-10,1220394792.6352584,1478025007.6619742,368203.2238035475,1880779.3375209006,-2210107.5814160802,-40843.84098477014,-18701.330846373807,-95526.25932131567,112253.0994139083,2074.490753781144,-4.802132025361061e-10
main,main_pre_break,ozone,copd,dalys,East Asia,Both,1990,2007,2007,raw,annual_chain,1324746.2756863206,2734920.801926243,1410174.5262399225,1324746.2756863206,2734920.801926243,0.0,0.0,1220394792.6352584,1359303771.5458698,204745.37182886607,938969.0004778866,-688647.750734716,955107.9046678859,14.51915121277913,66.585304372328,-48.83422143292579,67.72976584781868,-2.3283064365386963e-10
main,main_post_break,ozone,copd,dalys,East Asia,Both,2007,2021,2007,raw,annual_chain,2734920.801926243,1322777.414609918,-1412143.3873163252,2734920.801926243,1322777.4146099177,0.0,-2.3283064365386963e-10,1359303771.5458698,1478025007.6619742,163457.85197468137,941810.3370430139,-1521459.8306813643,-995951.745652656,-11.57515967874346,-66.69367611690306,107.74117163645734,70.52766415918919,-2.3283064365386963e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,East Asia,Both,1990,2019,,raw,annual_chain,1324746.2756863206,1433296.1508836155,108549.87519729487,1324746.2756863206,1433296.1508836155,0.0,0.0,1220394792.6352584,1468089083.2620585,359146.521365209,1774185.8804654137,-2091552.2403241373,66769.71369080988,330.85852997291994,1634.443040345041,-1926.812201785249,61.51063146728871,-4.3655745685100555e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,East Asia,Both,1990,2007,2007,raw,annual_chain,1324746.2756863206,2734920.801926243,1410174.5262399225,1324746.2756863206,2734920.801926243,0.0,0.0,1220394792.6352584,1359303771.5458698,204745.37182886607,938969.0004778866,-688647.750734716,955107.9046678859,14.51915121277913,66.585304372328,-48.83422143292579,67.72976584781868,-2.3283064365386963e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,East Asia,Both,2007,2019,2007,raw,annual_chain,2734920.801926243,1433296.1508836155,-1301624.6510426276,2734920.801926243,1433296.1508836155,0.0,0.0,1359303771.5458698,1468089083.2620585,154401.14953634288,835216.879987527,-1402904.4895894213,-888338.190977076,-11.862186953256028,-64.16726045550087,107.78103260918319,68.24841479957368,-2.3283064365386963e-10
main,main_overall_1990_2021,ozone,copd,dalys,Global,Both,1990,2021,,raw,annual_chain,3498853.2955586845,6957670.382605992,3458817.0870473078,3498853.2955586845,6957670.382605992,0.0,0.0,5336096932.229505,7922763197.366717,2231304.7262889436,2697467.8615329056,-3002469.3026583674,1532513.801883825,64.51063095081862,77.98816166470532,-86.80624696524465,44.3074543497207,9.313225746154785e-10
main,main_pre_break,ozone,copd,dalys,Global,Both,1990,2009,2009,raw,annual_chain,3498853.2955586845,6483696.218376477,2984842.9228177927,3498853.2955586845,6483696.218376478,0.0,9.313225746154785e-10,5336096932.229505,6870903465.192087,1277662.1491487913,1264158.6592299512,-926281.7931167118,1369303.9075557617,42.805004557581036,42.3526025294672,-31.032848865704143,45.8752417786559,0.0
main,main_post_break,ozone,copd,dalys,Global,Both,2009,2021,2009,raw,annual_chain,6483696.218376477,6957670.382605992,473974.164229515,6483696.218376478,6957670.382605992,9.313225746154785e-10,0.0,6870903465.192087,7922763197.366717,953642.5771401526,1433309.2023029546,-2076187.5095416552,163209.8943280636,201.20138376959406,302.4023903566389,-438.0381181570673,34.434344030834474,-5.820766091346741e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Global,Both,1990,2019,,raw,annual_chain,3498853.2955586845,7341500.502469097,3842647.2069104128,3498853.2955586845,7341500.502469097,0.0,0.0,5336096932.229505,7769115347.662649,2095064.6418388686,2461795.5815429892,-2297001.1763624176,1582788.159890972,54.52138926704527,64.06509494589633,-59.776530414543714,41.19004620160211,4.656612873077393e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Global,Both,1990,2009,2009,raw,annual_chain,3498853.2955586845,6483696.218376477,2984842.9228177927,3498853.2955586845,6483696.218376478,0.0,9.313225746154785e-10,5336096932.229505,6870903465.192087,1277662.1491487913,1264158.6592299512,-926281.7931167118,1369303.9075557617,42.805004557581036,42.3526025294672,-31.032848865704143,45.8752417786559,0.0
sensitivity,sensitivity_post_break,ozone,copd,dalys,Global,Both,2009,2019,2009,raw,annual_chain,6483696.218376477,7341500.502469097,857804.28409262,6483696.218376478,7341500.502469097,9.313225746154785e-10,0.0,6870903465.192087,7769115347.662649,817402.4926900775,1197636.922313038,-1370719.3832457056,213484.2523352104,95.29009213969137,139.61657041383174,-159.79395401313997,24.887291459616886,-2.3283064365386963e-10
main,main_overall_1990_2021,ozone,copd,dalys,High SDI,Both,1990,2021,,raw,annual_chain,1216319.9865537179,1364201.2979484533,147881.31139473547,1216319.9865537179,1364201.2979484533,0.0,0.0,2057966635.6512623,2530226036.8233757,325970.0979988348,887466.518213368,-916083.8233399191,-149471.48147754805,220.42683752562345,600.1208062352641,-619.4723421776008,-101.07530158328659,-2.0372681319713593e-10
main,main_pre_break,ozone,copd,dalys,High SDI,Both,1990,2009,2009,raw,annual_chain,1216319.9865537179,1790167.6813653214,573847.6948116035,1216319.9865537179,1790167.6813653216,0.0,2.3283064365386963e-10,2057966635.6512623,2360497587.0539675,219084.8861060031,503100.2009190242,-415952.467334827,267615.0751214032,38.17822883786778,87.67138135567382,-72.4848197693616,46.63520957581999,0.0
main,main_post_break,ozone,copd,dalys,High SDI,Both,2009,2021,2009,raw,annual_chain,1790167.6813653214,1364201.2979484533,-425966.38341686805,1790167.6813653216,1364201.2979484533,2.3283064365386963e-10,0.0,2360497587.0539675,2530226036.8233757,106885.21189283165,384366.3172943437,-500131.3560050921,-417086.55659895117,-25.09240542304237,-90.23395560259205,117.41099191755777,97.91536910807662,-1.7462298274040222e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,High SDI,Both,1990,2019,,raw,annual_chain,1216319.9865537179,1453518.0126140749,237198.026060357,1216319.9865537179,1453518.012614075,0.0,2.3283064365386963e-10,2057966635.6512623,2514046105.809277,317078.1839963154,833019.443803733,-802951.217899592,-109948.38384009914,133.67656943132917,351.19155822644336,-338.5151349005217,-46.3529927572508,-2.3283064365386963e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,High SDI,Both,1990,2009,2009,raw,annual_chain,1216319.9865537179,1790167.6813653214,573847.6948116035,1216319.9865537179,1790167.6813653216,0.0,2.3283064365386963e-10,2057966635.6512623,2360497587.0539675,219084.8861060031,503100.2009190242,-415952.467334827,267615.0751214032,38.17822883786778,87.67138135567382,-72.4848197693616,46.63520957581999,0.0
sensitivity,sensitivity_post_break,ozone,copd,dalys,High SDI,Both,2009,2019,2009,raw,annual_chain,1790167.6813653214,1453518.0126140749,-336649.6687512465,1790167.6813653216,1453518.012614075,2.3283064365386963e-10,2.3283064365386963e-10,2360497587.0539675,2514046105.809277,97993.29789031229,329919.2428847086,-386998.75056476507,-377563.4589615023,-29.108389814790048,-98.00076266478935,114.95592792361306,112.15322455596632,-5.820766091346741e-11
main,main_overall_1990_2021,ozone,copd,dalys,Japan,Both,1990,2021,,raw,annual_chain,16022.645514322643,34875.68989480578,18853.044380483138,16022.645514322645,34875.68989480577,1.8189894035458565e-12,-7.275957614183426e-12,123687380.71854454,125509256.85290577,132.17648844591332,33727.674751554456,-18920.351387704086,3913.544528186866,0.701088300533275,178.8977635170142,-100.35700869240316,20.75815687485575,-1.0913936421275139e-11
main,main_pre_break,ozone,copd,dalys,Japan,Both,1990,2010,2010,raw,annual_chain,16022.645514322643,34203.0430853682,18180.397571045556,16022.645514322645,34203.0430853682,1.8189894035458565e-12,0.0,123687380.71854454,127965040.22379117,812.1701071481245,21672.771137052903,-11146.24434357373,6841.700670418262,4.467284634311859,119.20955552462378,-61.309134192562695,37.6322940336271,-3.637978807091713e-12
main,main_post_break,ozone,copd,dalys,Japan,Both,2010,2021,2010,raw,annual_chain,34203.0430853682,34875.68989480578,672.6468094375814,34203.0430853682,34875.68989480577,0.0,-7.275957614183426e-12,127965040.22379117,125509256.85290577,-679.9936187022113,12054.903614501543,-7774.107044130358,-2928.1561422313957,-101.09222390733893,1792.1594877675823,-1155.748742884918,-435.31852097532555,3.183231456205249e-12
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Japan,Both,1990,2019,,raw,annual_chain,16022.645514322643,36598.68485865994,20576.039344337296,16022.645514322645,36598.68485865994,1.8189894035458565e-12,0.0,123687380.71854454,126394432.30613585,376.87409007589895,32135.954117656158,-16558.171923881397,4621.383060486642,1.8316162978159252,156.1814379330503,-80.47307670238465,22.46002247151849,-7.275957614183426e-12
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Japan,Both,1990,2010,2010,raw,annual_chain,16022.645514322643,34203.0430853682,18180.397571045556,16022.645514322645,34203.0430853682,1.8189894035458565e-12,0.0,123687380.71854454,127965040.22379117,812.1701071481245,21672.771137052903,-11146.24434357373,6841.700670418262,4.467284634311859,119.20955552462378,-61.309134192562695,37.6322940336271,-3.637978807091713e-12
sensitivity,sensitivity_post_break,ozone,copd,dalys,Japan,Both,2010,2019,2010,raw,annual_chain,34203.0430853682,36598.68485865994,2395.64177329174,34203.0430853682,36598.68485865994,0.0,0.0,127965040.22379117,126394432.30613585,-435.2960170722257,10463.182980603253,-5411.927580307669,-2220.31760993162,-18.170330052063907,436.7590804791436,-225.90721370129523,-92.68153672578455,1.8189894035458565e-12
main,main_overall_1990_2021,ozone,copd,dalys,Republic of Korea,Both,1990,2021,,raw,annual_chain,8924.913999531896,20916.06025556829,11991.146256036393,8924.913999531898,20916.060255568293,1.8189894035458565e-12,3.637978807091713e-12,44563740.97152462,52083507.14753976,1686.7018917809132,17322.760491007437,-10083.011507795425,3064.695381043469,14.066227329450015,144.4629239034349,-84.08713639631904,25.557985163434132,-1.8189894035458565e-12
main,main_pre_break,ozone,copd,dalys,Republic of Korea,Both,1990,2001,2001,raw,annual_chain,8924.913999531896,8158.5979603441,-766.3160391877964,8924.913999531898,8158.5979603441,1.8189894035458565e-12,0.0,44563740.97152462,47440017.74415988,725.527874248091,5059.995893968896,-726.8228413789311,-5825.016966025853,-94.67737032061395,-660.3014468197596,94.84635636091822,760.1324607794555,1.2505552149377763e-12
main,main_post_break,ozone,copd,dalys,Republic of Korea,Both,2001,2021,2001,raw,annual_chain,8158.5979603441,20916.06025556829,12757.462295224188,8158.5979603441,20916.060255568293,0.0,3.637978807091713e-12,47440017.74415988,52083507.14753976,961.1740175328217,12262.764597038544,-9356.188666416496,8889.71234706932,7.53421013748668,96.12228759342807,-73.33894821636295,69.68245048544823,-1.8189894035458565e-12
