analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
main,main_overall_1990_2021,ozone,copd,dalys,China,Both,1990,2021,,capped,endpoint_direct,1306470.7598355052,1268662.3820532765,-37808.377782228636,1306470.759835505,1268662.3820532765,-2.3283064365386963e-10,0.0,1179137926.6356301,1428242111.8436134,289716.10221806954,1429507.8498060184,-1597087.7009012345,-159944.62890508166,-766.2748819502302,-3780.928814348499,4224.163517673922,423.04017862480646,-4.0745362639427185e-10
main,main_pre_break,ozone,copd,dalys,China,Both,1990,2007,2007,capped,endpoint_direct,1306470.7598355052,2696452.5844764477,1389981.8246409425,1306470.759835505,2696452.584476448,-2.3283064365386963e-10,4.656612873077393e-10,1179137926.6356301,1311423761.7638988,210922.87033934167,899122.7671853724,-597889.4536858844,877825.6408021124,15.174505637426364,64.68593698465317,-43.014192206457814,63.15374958437825,4.656612873077393e-10
main,main_post_break,ozone,copd,dalys,China,Both,2007,2021,2007,capped,endpoint_direct,2696452.5844764477,1268662.3820532765,-1427790.2024231711,2696452.584476448,1268662.3820532765,4.656612873077393e-10,0.0,1311423761.7638988,1428242111.8436134,177982.83530060088,1060984.8332531585,-1554329.1425225178,-1112428.7284544127,-12.465615396333277,-74.30957513593455,108.86257237825217,77.91261815401566,0.0
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,China,Both,1990,2019,,capped,endpoint_direct,1306470.7598355052,1377330.1150120625,70859.35517655732,1306470.759835505,1377330.1150120625,-2.3283064365386963e-10,0.0,1179137926.6356301,1418278589.326395,283476.6035764821,1331039.3363826799,-1510769.001012545,-32887.58377006002,400.055296679112,1878.4242857787576,-2132.0671028521565,-46.41247960571386,4.3655745685100555e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,China,Both,1990,2007,2007,capped,endpoint_direct,1306470.7598355052,2696452.5844764477,1389981.8246409425,1306470.759835505,2696452.584476448,-2.3283064365386963e-10,4.656612873077393e-10,1179137926.6356301,1311423761.7638988,210922.87033934167,899122.7671853724,-597889.4536858844,877825.6408021124,15.174505637426364,64.68593698465317,-43.014192206457814,63.15374958437825,4.656612873077393e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,China,Both,2007,2019,2007,capped,endpoint_direct,2696452.5844764477,1377330.1150120625,-1319122.4694643852,2696452.584476448,1377330.1150120625,4.656612873077393e-10,0.0,1311423761.7638988,1418278589.326395,165560.08442065367,898991.0867515067,-1417889.2418299252,-965784.3988066204,-12.55077434075378,-68.15069165765418,107.48730877168995,73.21415722671803,0.0
main,main_overall_1990_2021,ozone,copd,dalys,East Asia,Both,1990,2021,,capped,endpoint_direct,1324746.2756863206,1322777.414609918,-1968.8610764027108,1324746.2756863206,1322777.4146099177,0.0,-2.3283064365386963e-10,1220394792.6352584,1478025007.6619742,296730.6691719491,1455374.98558556,-1617098.4739268876,-136976.04190702472,-15071.183677118712,-73919.63826338948,82133.70121986841,6957.120720639796,4.3655745685100555e-10
main,main_pre_break,ozone,copd,dalys,East Asia,Both,1990,2007,2007,capped,endpoint_direct,1324746.2756863206,2734920.801926243,1410174.5262399225,1324746.2756863206,2734920.801926243,0.0,0.0,1220394792.6352584,1359303771.5458698,216734.17163479546,910347.885156002,-599322.8755244567,882415.3449735814,15.369315471375987,64.55568925807687,-42.49990794561339,62.57490321616051,4.656612873077393e-10
main,main_post_break,ozone,copd,dalys,East Asia,Both,2007,2021,2007,capped,endpoint_direct,2734920.801926243,1322777.414609918,-1412143.3873163252,2734920.801926243,1322777.4146099177,0.0,-2.3283064365386963e-10,1359303771.5458698,1478025007.6619742,178672.51893551575,1074902.202054974,-1565252.489969031,-1100465.6183377835,-12.652576256797104,-76.11848851254027,110.84231984003256,77.92874492930477,-4.656612873077393e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,East Asia,Both,1990,2019,,capped,endpoint_direct,1324746.2756863206,1433296.1508836155,108549.87519729487,1324746.2756863206,1433296.1508836155,0.0,0.0,1220394792.6352584,1468089083.2620585,290582.1160769101,1355170.1669655095,-1524932.4637692133,-12269.944075911762,267.6945648705376,1248.4308844228697,-1404.821941064024,-11.303508229383517,2.764863893389702e-10
