analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,China,Both,1990,2019,,raw,endpoint_direct,1306470.7598355052,1377330.1150120625,70859.35517655732,1306470.759835505,1377330.1150120625,-2.3283064365386963e-10,0.0,1179137926.6356301,1418278589.326395,283476.6035764821,1331039.3363826799,-1510769.001012545,-32887.58377006002,400.055296679112,1878.4242857787576,-2132.0671028521565,-46.41247960571386,4.3655745685100555e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,China,Both,1990,2007,2007,raw,endpoint_direct,1306470.7598355052,2696452.5844764477,1389981.8246409425,1306470.759835505,2696452.584476448,-2.3283064365386963e-10,4.656612873077393e-10,1179137926.6356301,1311423761.7638988,210922.87033934167,899122.7671853724,-597889.4536858844,877825.6408021124,15.174505637426364,64.68593698465317,-43.014192206457814,63.15374958437825,4.656612873077393e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,China,Both,2007,2019,2007,raw,endpoint_direct,2696452.5844764477,1377330.1150120625,-1319122.4694643852,2696452.584476448,1377330.1150120625,4.656612873077393e-10,0.0,1311423761.7638988,1418278589.326395,165560.08442065367,898991.0867515067,-1417889.2418299252,-965784.3988066204,-12.55077434075378,-68.15069165765418,107.48730877168995,73.21415722671803,0.0
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,East Asia,Both,1990,2019,,raw,endpoint_direct,1324746.2756863206,1433296.1508836155,108549.87519729487,1324746.2756863206,1433296.1508836155,0.0,0.0,1220394792.6352584,1468089083.2620585,290582.1160769101,1355170.1669655095,-1524932.4637692133,-12269.944075911762,267.6945648705376,1248.4308844228697,-1404.821941064024,-11.303508229383517,2.764863893389702e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,East Asia,Both,1990,2007,2007,raw,endpoint_direct,1324746.2756863206,2734920.801926243,1410174.5262399225,1324746.2756863206,2734920.801926243,0.0,0.0,1220394792.6352584,1359303771.5458698,216734.17163479546,910347.885156002,-599322.8755244567,882415.3449735814,15.369315471375987,64.55568925807687,-42.49990794561339,62.57490321616051,4.656612873077393e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,East Asia,Both,2007,2019,2007,raw,endpoint_direct,2734920.801926243,1433296.1508836155,-1301624.6510426276,2734920.801926243,1433296.1508836155,0.0,0.0,1359303771.5458698,1468089083.2620585,166464.6507762737,911051.9625198251,-1423215.6006782472,-955925.6636604798,-12.788990331654531,-69.99344717311969,109.34147563494764,73.44096186982661,4.656612873077393e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Global,Both,1990,2019,,raw,endpoint_direct,3498853.2955586845,7341500.502469097,3842647.2069104128,3498853.2955586845,7341500.502469097,0.0,0.0,5336096932.229505,7769115347.662649,1985756.9442883611,2194194.894253697,-1958975.7842675215,1621671.1526358759,51.67679564018475,57.10112784509005,-50.97985005609162,42.20192657081682,4.656612873077393e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Global,Both,1990,2009,2009,raw,endpoint_direct,3498853.2955586845,6483696.218376477,2984842.9228177927,3498853.2955586845,6483696.218376478,0.0,9.313225746154785e-10,5336096932.229505,6870903465.192087,1227786.8516607494,1175833.6122449944,-748575.0227887625,1329797.4817008108,41.134052390994064,39.39348376613962,-25.079209933167345,44.551673776033645,4.656612873077393e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,Global,Both,2009,2019,2009,raw,endpoint_direct,6483696.218376477,7341500.502469097,857804.28409262,6483696.218376478,7341500.502469097,9.313225746154785e-10,0.0,6870903465.192087,7769115347.662649,853516.3128931558,1241815.4680350665,-1443412.6564670757,205885.15963147292,99.50012243130728,144.76675986162172,-168.26829653735157,24.001414244422545,4.656612873077393e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,High SDI,Both,1990,2019,,raw,endpoint_direct,1216319.9865537179,1453518.0126140749,237198.026060357,1216319.9865537179,1453518.012614075,0.0,2.3283064365386963e-10,2057966635.6512623,2514046105.809277,275778.1669999094,710858.916263016,-654186.055127473,-95253.00207509524,116.26495025288928,299.69006406576597,-275.79742799419836,-40.15758632445674,-2.3283064365386963e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,High SDI,Both,1990,2009,2009,raw,endpoint_direct,1216319.9865537179,1790167.6813653214,573847.6948116035,1216319.9865537179,1790167.6813653216,0.0,2.3283064365386963e-10,2057966635.6512623,2360497587.0539675,205244.103217228,460496.43834727485,-347956.1759818182,256063.329228919,35.766302639694395,80.24715312282602,-60.635631915547485,44.62217615302709,-1.1641532182693481e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,High SDI,Both,2009,2019,2009,raw,endpoint_direct,1790167.6813653214,1453518.0126140749,-336649.6687512465,1790167.6813653216,1453518.012614075,2.3283064365386963e-10,2.3283064365386963e-10,2360497587.0539675,2514046105.809277,103205.66302298378,347782.5965882302,-401153.94334786455,-386483.98501459585,-30.65669525409317,-103.30697721411096,119.16065292322648,114.80301954497759,-1.1641532182693481e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Japan,Both,1990,2019,,raw,endpoint_direct,16022.645514322643,36598.68485865994,20576.039344337296,16022.645514322645,36598.68485865994,1.8189894035458565e-12,0.0,123687380.71854454,126394432.30613585,600.7483043756833,26937.83517270401,-15498.380545897535,8535.836413155135,2.9196498622608558,130.91846648377222,-75.32246749014321,41.48435114411011,3.637978807091713e-12
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Japan,Both,1990,2010,2010,raw,endpoint_direct,16022.645514322643,34203.0430853682,18180.397571045556,16022.645514322645,34203.0430853682,1.8189894035458565e-12,0.0,123687380.71854454,127965040.22379117,867.8859778542798,18679.68024083616,-10508.947215126585,9141.778567481695,4.7737458681128695,102.74626925973153,-57.80372609597566,50.28371096813121,7.275957614183426e-12
sensitivity,sensitivity_post_break,ozone,copd,dalys,Japan,Both,2010,2019,2010,raw,endpoint_direct,34203.0430853682,36598.68485865994,2395.64177329174,34203.0430853682,36598.68485865994,0.0,0.0,127965040.22379117,126394432.30613585,-441.54382150772653,10710.576436524681,-5488.654591856728,-2384.7362498684856,-18.431128828623727,447.08589389004425,-229.10998852366075,-99.54477653775967,-1.3642420526593924e-12
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Republic of Korea,Both,1990,2019,,raw,endpoint_direct,8924.913999531896,20058.910249281686,11133.996249749789,8924.913999531898,20058.910249281686,1.8189894035458565e-12,0.0,44563740.97152462,52390584.32615163,2583.0496218829753,19146.04557349219,-11502.541897420158,907.442951794785,23.199663121325585,171.96023012781643,-103.3100931543663,8.150199905224305,-1.8189894035458565e-12
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Republic of Korea,Both,1990,2001,2001,raw,endpoint_direct,8924.913999531896,8158.5979603441,-766.3160391877964,8924.913999531898,8158.5979603441,1.8189894035458565e-12,0.0,44563740.97152462,47440017.74415988,553.390152151877,3867.019010614624,-757.843244609986,-4428.8819573443125,-72.21435071858923,-504.6245690894325,98.89434722170365,577.9445725863181,7.958078640513122e-13
sensitivity,sensitivity_post_break,ozone,copd,dalys,Republic of Korea,Both,2001,2019,2001,raw,endpoint_direct,8158.5979603441,20058.910249281686,11900.312288937585,8158.5979603441,20058.910249281686,0.0,0.0,47440017.74415988,52390584.32615163,1465.1601299843467,12404.470743496242,-9769.457055842593,7800.13847129959,12.311946900303997,104.23651449069382,-82.09412340316638,65.54566201216856,0.0
sensitivity,sensitivity_overall_1990_2019,ozone,copd,deaths,China,Both,1990,2019,,raw,endpoint_direct,66508.19692268662,90003.83522765567,23495.63830496905,66508.19692268662,90003.83522765565,0.0,-1.4551915228366852e-11,1179137926.6356301,1418278589.326395,16631.161571365825,88723.02483682905,-88114.94168423406,6256.393581008216,70.78403810739856,377.6148733872243,-375.02680514791035,26.627893653287398,1.8189894035458565e-11
sensitivity,sensitivity_pre_break,ozone,copd,deaths,China,Both,1990,2007,2007,raw,endpoint_direct,66508.19692268662,155569.3112471312,89061.11432444458,66508.19692268662,155569.3112471312,0.0,0.0,1179137926.6356301,1311423761.7638988,11586.327485229624,56583.1084163734,-29379.62799352042,50271.306416362,13.009412214427602,63.5328996785784,-32.988165729088124,56.44585383608214,-1.4551915228366852e-11
sensitivity,sensitivity_post_break,ozone,copd,deaths,China,Both,2007,2019,2007,raw,endpoint_direct,155569.3112471312,90003.83522765567,-65565.47601947554,155569.3112471312,90003.83522765565,0.0,-1.4551915228366852e-11,1311423761.7638988,1418278589.326395,10101.370523760195,63403.667058178304,-88396.6984179751,-50673.81518343889,-15.406538832662008,-96.70282427194597,134.8220188193521,77.28734428525581,-4.3655745685100555e-11
sensitivity,sensitivity_overall_1990_2019,ozone,copd,deaths,East Asia,Both,1990,2019,,raw,endpoint_direct,67397.57562018913,93086.69471395457,25689.119093765432,67397.57562018913,93086.69471395457,0.0,0.0,1220394792.6352584,1468089083.2620585,17005.920974678902,90242.13312796484,-88825.92054708746,7266.985538209144,66.1989261391455,351.2854325544622,-345.7725437095462,28.288185015938478,0.0
